货箱编号,架次编号,服务区编号,物资类型,是否首批保障,硬截止时刻（s）,期望送达时间（s）,交付完成时刻（s）,加权延期（优先系数·s）
S011-MED-01,Q2-013,S011,医疗物资,是,10800.0,10800,3570.064723664518,0.0
S011-WAT-01,Q2-013,S011,饮用水,是,10800.0,10800,3570.064723664518,0.0
S001-WAT-05,Q2-014,S001,饮用水,否,,3600,3932.704713106762,3992.4565572811443
S001-WAT-06,Q2-014,S001,饮用水,否,,3600,3932.704713106762,3992.4565572811443
S001-WAT-07,Q2-014,S001,饮用水,否,,3600,3932.704713106762,3992.4565572811443
S001-WAT-08,Q2-014,S001,饮用水,否,,3600,3932.704713106762,3992.4565572811443
S001-HYG-01,Q2-014,S001,生活卫生用品,否,,10800,3932.704713106762,0.0
S001-HYG-02,Q2-014,S001,生活卫生用品,否,,10800,3932.704713106762,0.0
S009-FOD-01,Q2-014,S009,应急食品,否,,14400,4401.297506841219,0.0
S001-WAT-02,Q2-015,S001,饮用水,否,,3600,4023.9772707275006,5087.727248730007
S001-WAT-03,Q2-015,S001,饮用水,否,,3600,4023.9772707275006,5087.727248730007
S001-WAT-04,Q2-015,S001,饮用水,否,,3600,4023.9772707275006,5087.727248730007
S001-FOD-01,Q2-015,S001,应急食品,否,,7200,4023.9772707275006,0.0
S001-FOD-02,Q2-015,S001,应急食品,否,,7200,4023.9772707275006,0.0
S001-FOD-03,Q2-015,S001,应急食品,否,,7200,4023.9772707275006,0.0
S013-FOD-01,Q2-016,S013,应急食品,否,,7200,4365.904501977108,0.0
S002-WAT-02,Q2-017,S002,饮用水,否,,3600,6558.617971275952,35503.41565531143
S002-WAT-03,Q2-017,S002,饮用水,否,,3600,6558.617971275952,35503.41565531143
S002-WAT-04,Q2-017,S002,饮用水,否,,3600,6558.617971275952,35503.41565531143
S002-FOD-01,Q2-017,S002,应急食品,否,,7200,6558.617971275952,0.0
S002-FOD-02,Q2-017,S002,应急食品,否,,7200,6558.617971275952,0.0
S002-HYG-01,Q2-017,S002,生活卫生用品,否,,10800,6558.617971275952,0.0
S003-WAT-02,Q2-018,S003,饮用水,否,,7200,6830.285223544004,0.0
S003-WAT-03,Q2-018,S003,饮用水,否,,7200,6830.285223544004,0.0
S003-WAT-04,Q2-018,S003,饮用水,否,,7200,6830.285223544004,0.0
S003-FOD-01,Q2-018,S003,应急食品,否,,10800,6830.285223544004,0.0
S003-FOD-02,Q2-018,S003,应急食品,否,,10800,6830.285223544004,0.0
S003-HYG-01,Q2-018,S003,生活卫生用品,否,,14400,6830.285223544004,0.0
S004-WAT-02,Q2-019,S004,饮用水,否,,7200,8634.274786253338,14342.747862533379
S004-WAT-03,Q2-019,S004,饮用水,否,,7200,8634.274786253338,14342.747862533379
S004-FOD-01,Q2-019,S004,应急食品,否,,10800,8634.274786253338,0.0
S004-HYG-01,Q2-019,S004,生活卫生用品,否,,14400,8634.274786253338,0.0
S008-WAT-02,Q2-020,S008,饮用水,否,,7200,8988.450610166254,17884.506101662537
S008-FOD-01,Q2-020,S008,应急食品,否,,10800,8988.450610166254,0.0
S008-HYG-01,Q2-020,S008,生活卫生用品,否,,14400,8988.450610166254,0.0
S005-WAT-02,Q2-021,S005,饮用水,否,,10800,10915.554233232127,924.4338658570196
S005-WAT-03,Q2-021,S005,饮用水,否,,10800,10915.554233232127,924.4338658570196
S005-FOD-01,Q2-021,S005,应急食品,否,,14400,10915.554233232127,0.0
S005-HYG-01,Q2-021,S005,生活卫生用品,否,,18000,10915.554233232127,0.0
