货箱编号,架次编号,服务区编号,物资类型,是否首批保障,硬截止时刻（s）,期望送达时间（s）,交付完成时刻（s）,加权延期（优先系数·s）
S005-MED-01,Q2-013,S005,医疗物资,是,10800.0,10800,5457.8083284897975,0.0
S005-WAT-01,Q2-013,S005,饮用水,是,10800.0,10800,5457.8083284897975,0.0
S009-MED-01,Q2-013,S009,医疗物资,是,10800.0,10800,4354.907513067137,0.0
S009-WAT-01,Q2-013,S009,饮用水,是,10800.0,10800,4354.907513067137,0.0
S008-MED-01,Q2-006,S008,医疗物资,是,7200.0,7200,4676.741188296001,0.0
S008-WAT-01,Q2-006,S008,饮用水,是,7200.0,7200,4676.741188296001,0.0
S001-WAT-02,Q2-015,S001,饮用水,否,,3600,7146.094508365637,42553.134100387644
S001-WAT-03,Q2-015,S001,饮用水,否,,3600,7146.094508365637,42553.134100387644
S001-WAT-04,Q2-015,S001,饮用水,否,,3600,7146.094508365637,42553.134100387644
S001-FOD-01,Q2-015,S001,应急食品,否,,7200,7146.094508365637,0.0
S001-FOD-02,Q2-015,S001,应急食品,否,,7200,7146.094508365637,0.0
S001-FOD-03,Q2-015,S001,应急食品,否,,7200,7146.094508365637,0.0
S014-FOD-01,Q2-009,S014,应急食品,否,,7200,7874.81713758905,6748.171375890497
S012-FOD-01,Q2-005,S012,应急食品,否,,7200,7904.791957333175,7047.9195733317465
S001-WAT-05,Q2-014,S001,饮用水,否,,3600,8074.699466000182,53696.39359200218
S001-WAT-06,Q2-014,S001,饮用水,否,,3600,8074.699466000182,53696.39359200218
S001-WAT-07,Q2-014,S001,饮用水,否,,3600,8074.699466000182,53696.39359200218
S001-WAT-08,Q2-014,S001,饮用水,否,,3600,8074.699466000182,53696.39359200218
S001-HYG-01,Q2-014,S001,生活卫生用品,否,,10800,8074.699466000182,0.0
S001-HYG-02,Q2-014,S001,生活卫生用品,否,,10800,8074.699466000182,0.0
S009-FOD-01,Q2-014,S009,应急食品,否,,14400,8543.292259734639,0.0
S013-FOD-01,Q2-011,S013,应急食品,否,,7200,8076.506836262219,8765.068362622187
S010-FOD-01,Q2-001,S010,应急食品,否,,7200,8097.424698588301,8974.24698588301
S002-WAT-02,Q2-016,S002,饮用水,否,,3600,10012.182999248047,76946.19599097656
S002-WAT-03,Q2-016,S002,饮用水,否,,3600,10012.182999248047,76946.19599097656
S002-WAT-04,Q2-016,S002,饮用水,否,,3600,10012.182999248047,76946.19599097656
S002-FOD-01,Q2-016,S002,应急食品,否,,7200,10012.182999248047,28121.82999248047
S002-FOD-02,Q2-016,S002,应急食品,否,,7200,10012.182999248047,28121.82999248047
S002-HYG-01,Q2-016,S002,生活卫生用品,否,,10800,10012.182999248047,0.0
S007-WAT-02,Q2-017,S007,饮用水,否,,3600,10575.294049880902,83703.52859857082
S007-FOD-01,Q2-017,S007,应急食品,否,,7200,10575.294049880902,33752.940498809025
S007-HYG-01,Q2-017,S007,生活卫生用品,否,,10800,10575.294049880902,0.0
S011-FOD-01,Q2-017,S011,应急食品,否,,14400,9963.554551869554,0.0
S003-WAT-02,Q2-018,S003,饮用水,否,,7200,13179.642507146027,59796.42507146027
S003-WAT-03,Q2-018,S003,饮用水,否,,7200,13179.642507146027,59796.42507146027
S003-WAT-04,Q2-018,S003,饮用水,否,,7200,13179.642507146027,59796.42507146027
S003-FOD-01,Q2-018,S003,应急食品,否,,10800,13179.642507146027,19037.140057168217
S003-FOD-02,Q2-018,S003,应急食品,否,,10800,13179.642507146027,19037.140057168217
S003-HYG-01,Q2-018,S003,生活卫生用品,否,,14400,13179.642507146027,0.0
S004-WAT-02,Q2-019,S004,饮用水,否,,7200,13479.509419168062,62795.09419168062
S004-WAT-03,Q2-019,S004,饮用水,否,,7200,13479.509419168062,62795.09419168062
S004-FOD-01,Q2-019,S004,应急食品,否,,10800,13479.509419168062,21436.075353344495
S004-HYG-01,Q2-019,S004,生活卫生用品,否,,14400,13479.509419168062,0.0
S008-WAT-02,Q2-020,S008,饮用水,否,,7200,15898.946035144525,86989.46035144525
S008-FOD-01,Q2-020,S008,应急食品,否,,10800,15898.946035144525,40791.5682811562
S008-HYG-01,Q2-020,S008,生活卫生用品,否,,14400,15898.946035144525,8993.67621086715
S005-WAT-02,Q2-021,S005,饮用水,否,,10800,16002.928115319293,41623.424922554346
S005-WAT-03,Q2-021,S005,饮用水,否,,10800,16002.928115319293,41623.424922554346
S005-FOD-01,Q2-021,S005,应急食品,否,,14400,16002.928115319293,9617.56869191576
S005-HYG-01,Q2-021,S005,生活卫生用品,否,,18000,16002.928115319293,0.0
