资源类型,资源编号,机型,阶段,关联架次,开始时刻（s）,结束时刻（s）
共享电池,C-BAT-02,C,两阶段充电,Q2-019,14199.132165356943,16532.87047722831
运输无人机,U07,C,执行架次,Q2-020,14531.22608763175,16602.9859826573
共享电池,C-BAT-04,C,随架次占用,Q2-020,14531.22608763175,16602.9859826573
共享电池,C-BAT-04,C,两阶段充电,Q2-020,16602.9859826573,18904.605505687854
运输无人机,U08,C,执行架次,Q2-021,14760.27030673319,16508.3159239054
共享电池,C-BAT-03,C,随架次占用,Q2-021,14760.27030673319,16508.3159239054
共享电池,C-BAT-03,C,两阶段充电,Q2-021,16508.3159239054,18371.329599741835
中继无人机,R01,R,飞行与中继,Q3-R-01,0.0,3109.9550232096017
中继能源组件,R-EC-01,R,架次占用,Q3-R-01,0.0,2809.9550232096017
中继能源组件,R-EC-01,R,充电,Q3-R-01,2809.9550232096017,3617.396334754514
中继无人机,R02,R,飞行与中继,Q3-R-02,118.1205883198736,2987.1906233459454
中继能源组件,R-EC-02,R,架次占用,Q3-R-02,118.1205883198736,2687.1906233459454
中继能源组件,R-EC-02,R,充电,Q3-R-02,2687.1906233459454,3465.5769749155133
中继无人机,R02,R,飞行与中继,Q3-R-03,3047.190623345945,6657.73803957016
中继能源组件,R-EC-03,R,架次占用,Q3-R-03,3047.190623345945,6357.73803957016
中继能源组件,R-EC-03,R,充电,Q3-R-03,6357.73803957016,7217.381064093852
中继无人机,R01,R,飞行与中继,Q3-R-04,3413.2415307269894,6259.492628404937
中继能源组件,R-EC-04,R,架次占用,Q3-R-04,3413.2415307269894,5959.492628404937
中继能源组件,R-EC-04,R,充电,Q3-R-04,5959.492628404937,6735.241405402063
中继无人机,R01,R,飞行与中继,Q3-R-05,6544.81293874066,11733.74843129148
中继能源组件,R-EC-05,R,架次占用,Q3-R-05,6544.81293874066,11433.74843129148
中继能源组件,R-EC-05,R,充电,Q3-R-05,11433.74843129148,12489.31983681752
中继无人机,R02,R,飞行与中继,Q3-R-06,6717.73803957016,11535.49150011937
中继能源组件,R-EC-06,R,架次占用,Q3-R-06,6717.73803957016,11235.49150011937
中继能源组件,R-EC-06,R,充电,Q3-R-06,11235.49150011937,12254.925152410431
中继无人机,R02,R,飞行与中继,Q3-R-07,11553.478213199971,14751.419913599866
中继能源组件,R-EC-02,R,架次占用,Q3-R-07,11553.478213199971,14451.419913599866
中继能源组件,R-EC-02,R,充电,Q3-R-07,14451.419913599866,15259.845388329393
中继无人机,R01,R,飞行与中继,Q3-R-08,11919.529120581015,14353.174502434642
中继能源组件,R-EC-01,R,架次占用,Q3-R-08,11919.529120581015,14053.174502434642
中继能源组件,R-EC-01,R,充电,Q3-R-08,14053.174502434642,14777.705729637602
中继无人机,R01,R,飞行与中继,Q3-R-09,14413.174502434642,17247.579666311478
中继能源组件,R-EC-04,R,架次占用,Q3-R-09,14413.174502434642,16947.579666311478
中继能源组件,R-EC-04,R,充电,Q3-R-09,16947.579666311478,17710.878643885797
中继无人机,R02,R,飞行与中继,Q3-R-10,14779.225409815686,16849.334255146252
中继能源组件,R-EC-03,R,架次占用,Q3-R-10,14779.225409815686,16549.334255146252
中继能源组件,R-EC-03,R,充电,Q3-R-10,16549.334255146252,17228.738985194006
