运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q2-008,下降:S010,1834.8466207673216,1909.101672813664,RELAY,Q3-R-01
Q2-008,交接:S010,1910.091740174282,2161.0917401742818,RELAY,Q3-R-01
Q2-008,爬升:S010,2162.0917401742818,2195.7063544320945,RELAY,Q3-R-01
Q2-008,巡航:S010-O01,2196.704983466513,2250.630951325112,RELAY,Q3-R-01
Q2-008,巡航:S010-O01,2251.6295803595303,2514.269016411596,DIRECT,
Q2-008,下降:O01,2515.2688103584937,2668.237284233862,DIRECT,
Q2-009,爬升:O01,7082.961244974601,7237.710374206372,DIRECT,
Q2-009,巡航:O01-S014,7238.709620212756,7499.512827878928,DIRECT,
Q2-009,巡航:O01-S014,7500.512073885312,7598.438182510924,RELAY,Q3-R-06
Q2-009,下降:S014,7599.431779985956,7693.823540114016,RELAY,Q3-R-06
Q2-009,交接:S014,7694.817137589049,7873.817137589049,RELAY,Q3-R-06
Q2-009,爬升:S014,7874.817137589049,7955.132933487486,RELAY,Q3-R-06
Q2-009,巡航:S014-O01,7956.13217949387,8053.059042113099,RELAY,Q3-R-06
Q2-009,巡航:S014-O01,8054.058288119482,8315.86074179204,DIRECT,
Q2-009,下降:O01,8316.859123270953,8501.559696870165,DIRECT,
Q2-010,爬升:O01,3533.5694628291258,3681.602547952824,DIRECT,
Q2-010,巡航:O01-S015,3682.6007426527317,3943.1295593287036,DIRECT,
Q2-010,巡航:O01-S015,3944.1277540286114,4026.97791412097,RELAY,Q3-R-04
Q2-010,巡航:O01-S015,4027.9761088208784,4082.8768173158146,RELAY,Q3-R-03
Q2-010,下降:S015,4083.8747583965437,4100.83975676894,RELAY,Q3-R-03
Q2-010,下降:S015,4101.837697849669,4120.798578383523,RELAY,Q3-R-04
Q2-010,交接:S015,4121.796519464252,4300.796519464252,RELAY,Q3-R-04
Q2-010,爬升:S015,4301.796519464252,4306.156026707091,RELAY,Q3-R-04
Q2-010,巡航:S015-S003,4307.151973323113,4313.12765301925,RELAY,Q3-R-04
Q2-010,巡航:S015-S003,4314.1235996352725,4480.446684511066,RELAY,Q3-R-03
Q2-010,下降:S003,4481.4405413225895,4512.250102479817,RELAY,Q3-R-03
Q2-010,下降:S003,4513.24395929134,4539.08423639095,RELAY,Q3-R-04
Q2-010,交接:S003,4540.078093202473,4749.078093202473,RELAY,Q3-R-04
Q2-010,爬升:S003,4750.078093202473,4771.912275602646,RELAY,Q3-R-04
Q2-010,爬升:S003,4772.904738439018,4824.512805930337,RELAY,Q3-R-03
Q2-010,巡航:S003-O01,4825.510891940119,4863.438160311833,RELAY,Q3-R-03
Q2-010,巡航:S003-O01,4864.436246321615,5046.087900101928,RELAY,Q3-R-04
Q2-010,巡航:S003-O01,5047.085986111711,5308.584520674579,DIRECT,
Q2-010,下降:O01,5309.582461222128,5482.226175948016,DIRECT,
Q2-011,爬升:O01,7382.961244974601,7473.455186218091,DIRECT,
Q2-011,巡航:O01-S013,7474.452862565133,7801.690704394852,DIRECT,
Q2-011,巡航:O01-S013,7802.688380741894,7877.5141067700315,RELAY,Q3-R-06
Q2-011,下降:S013,7878.513724111725,7895.507218920525,RELAY,Q3-R-06
Q2-011,交接:S013,7896.506836262219,8075.506836262219,RELAY,Q3-R-06
Q2-011,爬升:S013,8076.506836262219,8092.334110839041,RELAY,Q3-R-06
Q2-011,巡航:S013-O01,8093.331787186084,8167.1598368671785,RELAY,Q3-R-06
Q2-011,巡航:S013-O01,8168.157513214221,8496.393031390982,DIRECT,
Q2-011,下降:O01,8497.389294964305,8604.98576088317,DIRECT,
Q2-012,爬升:O01,3383.5694628291258,3478.928598571313,DIRECT,
Q2-012,巡航:O01-S006,3479.9242271516714,3690.9974861876017,DIRECT,
Q2-012,下降:S006,3691.9839830982837,3715.659908954654,DIRECT,
Q2-012,交接:S006,3716.646405865336,4039.646405865336,DIRECT,
Q2-012,爬升:S006,4040.646405865336,4175.230458599711,DIRECT,
Q2-012,巡航:S006-S015,4176.2289352905755,4370.93189000918,DIRECT,
Q2-012,巡航:S006-S015,4371.930366700044,4436.831351606246,RELAY,Q3-R-04
Q2-012,巡航:S006-S015,4437.829828297111,4488.752139531207,RELAY,Q3-R-03
Q2-012,下降:S015,4489.745173979723,4551.313309787746,RELAY,Q3-R-03
Q2-012,下降:S015,4552.306344236263,4576.139171000659,RELAY,Q3-R-04
Q2-012,交接:S015,4577.132205449176,4828.132205449176,RELAY,Q3-R-04
Q2-012,爬升:S015,4829.132205449176,4848.909984406377,RELAY,Q3-R-04
Q2-012,爬升:S015,4849.8988733542365,4874.621097050738,RELAY,Q3-R-03
Q2-012,巡航:S015-S011,4875.620165773434,4940.559632748656,RELAY,Q3-R-03
Q2-012,巡航:S015-S011,4941.558701471352,5007.497237169269,RELAY,Q3-R-04
Q2-012,巡航:S015-S011,5008.496305891966,5105.405971993451,DIRECT,
Q2-012,下降:S011,5106.401004345314,5292.472054143542,DIRECT,
Q2-012,交接:S011,5293.467086495404,5544.467086495404,DIRECT,
Q2-012,爬升:S011,5545.467086495404,5577.96669831181,DIRECT,
Q2-012,巡航:S011-O01,5578.965688286864,5765.776813621802,DIRECT,
Q2-012,下降:O01,5766.774699341929,5848.601328392309,DIRECT,
Q2-013,爬升:O01,3623.5694628291258,3689.781027770532,DIRECT,
Q2-013,巡航:O01-S009,3690.7797503598513,3952.4450687614217,DIRECT,
Q2-013,巡航:O01-S009,3953.4437913507404,4071.293056890379,RELAY,Q3-R-04
Q2-013,下降:S009,4072.2810086459026,4101.9195613116135,RELAY,Q3-R-04
Q2-013,交接:S009,4102.907513067137,4353.907513067137,RELAY,Q3-R-04
Q2-013,爬升:S009,4354.907513067137,4392.993828985106,RELAY,Q3-R-04
Q2-013,巡航:S009-S004,4393.991203018655,4413.938683689632,RELAY,Q3-R-04
Q2-013,巡航:S009-S004,4414.936057723181,4592.468635694874,RELAY,Q3-R-03
Q2-013,下降:S004,4593.457572325435,4639.937593961775,RELAY,Q3-R-03
Q2-013,交接:S004,4640.926530592335,4891.926530592335,RELAY,Q3-R-03
Q2-013,爬升:S004,4892.926530592335,4947.058776686085,RELAY,Q3-R-03
Q2-013,巡航:S004-S005,4948.055543795723,5121.493020872611,RELAY,Q3-R-03
Q2-013,下降:S005,5122.484965668107,5204.816383694302,RELAY,Q3-R-03
Q2-013,交接:S005,5205.808328489798,5456.808328489798,RELAY,Q3-R-03
Q2-013,爬升:S005,5457.808328489798,5510.372683958549,RELAY,Q3-R-03
Q2-013,巡航:S005-O01,5511.371181158496,5542.324594356869,RELAY,Q3-R-03
Q2-013,巡航:S005-O01,5543.3230915568165,5600.237431953824,RELAY,Q3-R-04
Q2-013,巡航:S005-O01,5601.235929153771,5863.840692739966,DIRECT,
Q2-013,下降:O01,5864.834247183325,5963.196137075903,DIRECT,
Q2-014,爬升:O01,7371.801094710446,7429.943738753414,DIRECT,
Q2-014,巡航:O01-S001,7430.9399700811855,7634.171160946471,DIRECT,
Q2-014,下降:S001,7635.160678836553,7677.7099481100995,DIRECT,
Q2-014,交接:S001,7678.699466000182,8073.699466000182,DIRECT,
Q2-014,爬升:S001,8074.699466000182,8118.391030941588,DIRECT,
Q2-014,巡航:S001-S009,8119.387024046174,8177.154624112157,DIRECT,
Q2-014,巡航:S001-S009,8178.150617216743,8295.67780355788,RELAY,Q3-R-06
Q2-014,下降:S009,8296.665755313405,8326.304307979115,RELAY,Q3-R-06
Q2-014,交接:S009,8327.292259734639,8542.292259734639,RELAY,Q3-R-06
Q2-014,爬升:S009,8543.292259734639,8568.583824676045,RELAY,Q3-R-06
Q2-014,巡航:S009-O01,8569.582547265363,8686.433090215683,RELAY,Q3-R-06
Q2-014,巡航:S009-O01,8687.431812805002,8950.095853795892,DIRECT,
Q2-014,下降:O01,8951.093015918505,9032.86030997265,DIRECT,
Q2-015,爬升:O01,6443.196137075901,6501.3387811188695,DIRECT,
Q2-015,巡航:O01-S001,6502.335012446641,6705.566203311926,DIRECT,
Q2-015,下降:S001,6706.5557212020085,6749.104990475555,DIRECT,
Q2-015,交接:S001,6750.094508365637,7145.094508365637,DIRECT,
Q2-015,爬升:S001,7146.094508365637,7181.717152408606,DIRECT,
Q2-015,巡航:S001-O01,7182.713383736377,7385.944574601663,DIRECT,
Q2-015,下降:O01,7386.940167821576,7458.622879655373,DIRECT,
Q2-016,爬升:O01,9003.268930459542,9075.770632119698,DIRECT,
Q2-016,巡航:O01-S002,9076.769997523032,9338.603733196269,DIRECT,
Q2-016,巡航:O01-S002,9339.603098599602,9571.45587217285,RELAY,Q3-R-06
Q2-016,下降:S002,9572.449808330077,9615.189063090818,RELAY,Q3-R-06
Q2-016,交接:S002,9616.182999248045,10011.182999248045,RELAY,Q3-R-06
Q2-016,爬升:S002,10012.182999248045,10047.964700908202,RELAY,Q3-R-06
Q2-016,巡航:S002-O01,10048.964066311535,10279.817474481451,RELAY,Q3-R-06
Q2-016,巡航:S002-O01,10280.816839884783,10543.649940961353,DIRECT,
Q2-016,下降:O01,10544.645843456685,10634.277068036548,DIRECT,
Q2-017,爬升:O01,9452.860309972648,9519.119921789053,DIRECT,
Q2-017,巡航:O01-S011,9520.118911764106,9706.930037099046,DIRECT,
Q2-017,下降:S011,9707.920878922716,9746.563710045883,DIRECT,
Q2-017,交接:S011,9747.554551869554,9962.554551869554,DIRECT,
Q2-017,爬升:S011,9963.554551869554,10053.91090196721,DIRECT,
Q2-017,巡航:S011-S007,10054.908985090447,10190.648289850555,DIRECT,
Q2-017,巡航:S011-S007,10191.646372973792,10242.548612258832,RELAY,Q3-R-05
Q2-017,下降:S007,10243.5429553171,10286.299706822634,RELAY,Q3-R-05
Q2-017,交接:S007,10287.294049880902,10574.294049880902,RELAY,Q3-R-05
Q2-017,爬升:S007,10575.294049880902,10636.626239822308,RELAY,Q3-R-05
Q2-017,巡航:S007-O01,10637.623781722408,10675.530373926184,RELAY,Q3-R-05
Q2-017,巡航:S007-O01,10676.527915826284,10938.881435552423,DIRECT,
Q2-017,下降:O01,10939.876463411076,11125.94667297918,DIRECT,
Q2-018,爬升:O01,12014.27706803655,12187.918723309987,DIRECT,
Q2-018,巡航:O01-S003,12188.91680931977,12449.417257872856,DIRECT,
Q2-018,巡航:O01-S003,12450.415343882638,12632.066997662952,RELAY,Q3-R-08
Q2-018,巡航:O01-S003,12633.065083672735,12671.99043805423,RELAY,Q3-R-07
Q2-018,下降:S003,12672.987331528264,12748.75123555484,RELAY,Q3-R-07
Q2-018,下降:S003,12749.748129028874,12782.645613671993,RELAY,Q3-R-08
Q2-018,交接:S003,12783.642507146027,13178.642507146027,RELAY,Q3-R-08
Q2-018,爬升:S003,13179.642507146027,13206.43900372806,RELAY,Q3-R-08
Q2-018,爬升:S003,13207.43146656443,13268.964162419465,RELAY,Q3-R-07
Q2-018,巡航:S003-O01,13269.962248429247,13307.88951680096,RELAY,Q3-R-07
Q2-018,巡航:S003-O01,13308.887602810742,13490.539256591055,RELAY,Q3-R-08
Q2-018,巡航:S003-O01,13491.537342600837,13753.035877163707,DIRECT,
Q2-018,下降:O01,13754.031528856789,13970.087946255504,DIRECT,
Q2-019,爬升:O01,12445.94667297918,12554.162339483086,DIRECT,
Q2-019,巡航:O01-S004,12555.161135414526,12923.716834116323,DIRECT,
Q2-019,巡航:O01-S004,12924.715630047765,13070.539836038179,RELAY,Q3-R-07
Q2-019,下降:S004,13071.539478192648,13154.509777013593,RELAY,Q3-R-07
Q2-019,交接:S004,13155.509419168062,13478.509419168062,RELAY,Q3-R-07
Q2-019,爬升:S004,13479.509419168062,13547.485085671968,RELAY,Q3-R-07
Q2-019,巡航:S004-O01,13548.483881603408,13693.309291662381,RELAY,Q3-R-07
Q2-019,巡航:S004-O01,13694.308087593821,14063.86258222706,DIRECT,
Q2-019,下降:O01,14064.85721151478,14199.132165356943,DIRECT,
Q2-020,爬升:O01,14921.22608763175,15019.309820541906,DIRECT,
Q2-020,巡航:O01-S008,15020.309139485464,15309.11231417375,DIRECT,
Q2-020,巡航:O01-S008,15310.111633117309,15332.096649875586,RELAY,Q3-R-10
Q2-020,巡航:O01-S008,15333.095968819143,15559.941369006829,RELAY,Q3-R-09
Q2-020,下降:S008,15560.922227971016,15609.965176180338,RELAY,Q3-R-09
Q2-020,交接:S008,15610.946035144523,15897.946035144523,RELAY,Q3-R-09
Q2-020,爬升:S008,15898.946035144523,15939.74976805468,RELAY,Q3-R-09
Q2-020,巡航:S008-O01,15940.749086998238,16166.595168242366,RELAY,Q3-R-09
Q2-020,巡航:S008-O01,16167.594487185923,16189.5795039442,RELAY,Q3-R-10
Q2-020,巡航:S008-O01,16190.578822887759,16480.381316519604,DIRECT,
Q2-020,下降:O01,16481.37810242316,16602.9859826573,DIRECT,
Q2-021,爬升:O01,15180.27030673319,15259.75466220194,DIRECT,
Q2-021,巡航:O01-S005,15260.753159401887,15522.359425788134,DIRECT,
Q2-021,巡航:O01-S005,15523.357922988082,15580.272263385088,RELAY,Q3-R-10
Q2-021,巡航:O01-S005,15581.270760585036,15613.222670983356,RELAY,Q3-R-09
Q2-021,下降:S005,15614.218208018749,15677.9325782839,RELAY,Q3-R-09
Q2-021,交接:S005,15678.928115319293,16001.928115319293,RELAY,Q3-R-09
Q2-021,爬升:S005,16002.928115319293,16055.492470788044,RELAY,Q3-R-09
Q2-021,巡航:S005-O01,16056.490967987991,16087.444381186364,RELAY,Q3-R-09
Q2-021,巡航:S005-O01,16088.442878386311,16145.35721878332,RELAY,Q3-R-10
Q2-021,巡航:S005-O01,16146.355715983267,16408.96047956946,DIRECT,
Q2-021,下降:O01,16409.954034012822,16508.3159239054,DIRECT,
